id_produit,nom_produit,categorie,sous_categorie,sexe,taille,couleur,prix_unitaire,cout_production,quantite_stock
CB803,Chaussures Basketball,Chaussures,Basketball,Femme,39,Jaune,277.18,97.71,1
CR961,Chaussures Running,Chaussures,Running,Unisexe,42,Bleu,151.27,73.57,81
VS356,Vetements Shorts,Vetements,Shorts,Femme,XS,Jaune,218.87,89.09,85
VT888,Vetements T-shirts,Vetements,T-shirts,Homme,XL,Blanc,287.44,125.08,0
AS811,Accessoires Sacs,Accessoires,Sacs,Homme,M,Jaune,98.41,33.35,19
VS833,Vetements Shorts,Vetements,Shorts,Homme,XS,Jaune,74.98,23.65,37
VS160,Vetements Shorts,Vetements,Shorts,Femme,XS,Rouge,168.84,53.98,5
AC309,Accessoires Casquettes,Accessoires,Casquettes,Femme,S,Rouge,258.48,131.47,100
VS881,Vetements Sweats,Vetements,Sweats,Homme,XS,Vert,126.18,75.35,38
AC449,Accessoires Casquettes,Accessoires,Casquettes,Homme,L,Noir,54.75,29.66,19
VS286,Vetements Shorts,Vetements,Shorts,Homme,XL,Bleu,138.27,71.02,22
VT638,Vetements T-shirts,Vetements,T-shirts,Homme,M,Noir,56.18,22.6,50
AC782,Accessoires Chaussettes,Accessoires,Chaussettes,Unisexe,L,Bleu,69.83,33.82,19
VT721,Vetements T-shirts,Vetements,T-shirts,Unisexe,L,Vert,130.01,51.93,3
VS775,Vetements Sweats,Vetements,Sweats,Homme,XS,Bleu,149.8,58.22,7
VS592,Vetements Shorts,Vetements,Shorts,Femme,M,Blanc,201.14,75.14,35
VT183,Vetements T-shirts,Vetements,T-shirts,Femme,XS,Jaune,87.8,43.46,56
VT293,Vetements T-shirts,Vetements,T-shirts,Femme,XL,Noir,131.21,74.36,93
AC539,Accessoires Casquettes,Accessoires,Casquettes,Homme,XS,Jaune,197.08,70.77,51
CF772,Chaussures Football,Chaussures,Football,Homme,40,Jaune,154.0,46.54,69
CB976,Chaussures Basketball,Chaussures,Basketball,Unisexe,39,Blanc,142.42,61.55,82
VS960,Vetements Shorts,Vetements,Shorts,Femme,M,Rouge,176.22,58.79,53
CF385,Chaussures Football,Chaussures,Football,Homme,35,Noir,108.95,39.62,11
AC207,Accessoires Chaussettes,Accessoires,Chaussettes,Homme,XS,Bleu,107.12,32.9,35
AC688,Accessoires Casquettes,Accessoires,Casquettes,Unisexe,S,Jaune,276.06,91.79,6
CB279,Chaussures Basketball,Chaussures,Basketball,Homme,45,Rouge,122.63,66.77,70
AS999,Accessoires Sacs,Accessoires,Sacs,Homme,L,Vert,72.35,39.65,84
VS724,Vetements Shorts,Vetements,Shorts,Homme,L,Blanc,112.69,55.61,42
VT311,Vetements T-shirts,Vetements,T-shirts,Femme,S,Noir,171.81,57.21,5
CB629,Chaussures Basketball,Chaussures,Basketball,Femme,42,Blanc,268.25,124.42,84
AS305,Accessoires Sacs,Accessoires,Sacs,Femme,S,Bleu,146.47,60.08,51
CR498,Chaussures Running,Chaussures,Running,Homme,41,Blanc,202.34,69.04,85
AC498,Accessoires Chaussettes,Accessoires,Chaussettes,Unisexe,XL,Noir,107.59,47.24,46
VS203,Vetements Shorts,Vetements,Shorts,Homme,XS,Jaune,60.94,30.3,86
VS762,Vetements Shorts,Vetements,Shorts,Unisexe,XS,Blanc,236.04,130.38,10
AC277,Accessoires Casquettes,Accessoires,Casquettes,Homme,L,Blanc,207.55,78.97,85
VT226,Vetements T-shirts,Vetements,T-shirts,Homme,M,Noir,118.11,48.21,16
CF593,Chaussures Football,Chaussures,Football,Femme,44,Jaune,259.12,78.77,98
CB383,Chaussures Basketball,Chaussures,Basketball,Homme,42,Jaune,63.63,28.44,38
CB499,Chaussures Basketball,Chaussures,Basketball,Unisexe,43,Noir,143.73,85.26,45
AC410,Accessoires Casquettes,Accessoires,Casquettes,Unisexe,L,Rouge,171.58,55.99,37
AC183,Accessoires Casquettes,Accessoires,Casquettes,Homme,XS,Blanc,109.17,40.55,37
AS330,Accessoires Sacs,Accessoires,Sacs,Femme,M,Rouge,76.87,32.67,97
VS326,Vetements Sweats,Vetements,Sweats,Homme,XS,Jaune,60.37,35.79,53
AC457,Accessoires Chaussettes,Accessoires,Chaussettes,Homme,L,Blanc,95.14,45.93,50
AC739,Accessoires Chaussettes,Accessoires,Chaussettes,Unisexe,XL,Blanc,84.07,40.48,61
AC927,Accessoires Casquettes,Accessoires,Casquettes,Femme,XL,Blanc,269.94,141.55,68
VS945,Vetements Sweats,Vetements,Sweats,Femme,S,Vert,124.6,40.87,60
VS593,Vetements Shorts,Vetements,Shorts,Unisexe,XS,Bleu,197.34,102.46,48
VS471,Vetements Sweats,Vetements,Sweats,Homme,XL,Bleu,95.24,47.28,5
AS171,Accessoires Sacs,Accessoires,Sacs,Unisexe,XL,Jaune,56.16,25.84,78
CB380,Chaussures Basketball,Chaussures,Basketball,Unisexe,44,Vert,235.52,100.09,97
CR239,Chaussures Running,Chaussures,Running,Femme,35,Vert,158.87,71.3,56
VS407,Vetements Sweats,Vetements,Sweats,Femme,XL,Rouge,209.33,112.69,51
AC835,Accessoires Chaussettes,Accessoires,Chaussettes,Unisexe,M,Jaune,220.67,113.12,43
AC345,Accessoires Casquettes,Accessoires,Casquettes,Unisexe,XL,Rouge,81.34,33.85,97
VT102,Vetements T-shirts,Vetements,T-shirts,Homme,S,Vert,293.21,116.99,22
CF283,Chaussures Football,Chaussures,Football,Homme,41,Vert,205.04,117.29,8
VT541,Vetements T-shirts,Vetements,T-shirts,Homme,XL,Rouge,54.38,20.17,64
AS970,Accessoires Sacs,Accessoires,Sacs,Unisexe,S,Blanc,139.68,72.5,11
AC256,Accessoires Chaussettes,Accessoires,Chaussettes,Femme,S,Rouge,80.25,25.26,40
VT648,Vetements T-shirts,Vetements,T-shirts,Femme,XL,Noir,103.15,33.58,80
VT258,Vetements T-shirts,Vetements,T-shirts,Homme,S,Bleu,260.76,107.77,39
VS481,Vetements Shorts,Vetements,Shorts,Femme,L,Vert,109.71,63.94,62
VT180,Vetements T-shirts,Vetements,T-shirts,Unisexe,XL,Rouge,206.32,85.41,98
VT409,Vetements T-shirts,Vetements,T-shirts,Homme,L,Rouge,247.99,123.72,63
CB573,Chaussures Basketball,Chaussures,Basketball,Unisexe,44,Blanc,58.6,19.43,10
CR664,Chaussures Running,Chaussures,Running,Unisexe,42,Blanc,234.44,109.34,30
CB858,Chaussures Basketball,Chaussures,Basketball,Unisexe,39,Jaune,254.39,140.09,57
CF296,Chaussures Football,Chaussures,Football,Femme,44,Noir,145.87,54.31,72
AS553,Accessoires Sacs,Accessoires,Sacs,Homme,M,Noir,113.02,45.16,25
VS173,Vetements Sweats,Vetements,Sweats,Unisexe,L,Vert,66.07,33.59,86
VT660,Vetements T-shirts,Vetements,T-shirts,Homme,S,Rouge,51.44,24.1,58
AS542,Accessoires Sacs,Accessoires,Sacs,Femme,L,Bleu,105.02,46.72,94
CR632,Chaussures Running,Chaussures,Running,Femme,35,Noir,218.52,77.45,44
CF836,Chaussures Football,Chaussures,Football,Femme,38,Vert,206.39,118.5,53
CB664,Chaussures Basketball,Chaussures,Basketball,Unisexe,36,Vert,264.02,83.84,74
CF694,Chaussures Football,Chaussures,Football,Unisexe,43,Noir,58.18,20.77,64
VS661,Vetements Sweats,Vetements,Sweats,Homme,L,Noir,183.27,63.31,53
CR146,Chaussures Running,Chaussures,Running,Homme,41,Noir,100.43,33.15,12
CF779,Chaussures Football,Chaussures,Football,Homme,38,Vert,102.28,41.41,98
VS229,Vetements Shorts,Vetements,Shorts,Femme,S,Jaune,267.67,149.22,44
CB909,Chaussures Basketball,Chaussures,Basketball,Homme,38,Vert,90.04,49.85,60
AC368,Accessoires Casquettes,Accessoires,Casquettes,Unisexe,XL,Noir,239.09,128.79,66
CF318,Chaussures Football,Chaussures,Football,Unisexe,37,Noir,146.22,47.08,41
AC285,Accessoires Casquettes,Accessoires,Casquettes,Femme,XL,Jaune,52.53,18.18,50
VS308,Vetements Sweats,Vetements,Sweats,Unisexe,L,Rouge,225.34,77.38,81
AC734,Accessoires Chaussettes,Accessoires,Chaussettes,Homme,L,Vert,276.43,83.18,33
AC244,Accessoires Casquettes,Accessoires,Casquettes,Unisexe,XS,Vert,108.83,47.26,66
AC554,Accessoires Chaussettes,Accessoires,Chaussettes,Femme,M,Vert,74.5,29.57,77
CB324,Chaussures Basketball,Chaussures,Basketball,Homme,39,Jaune,159.21,63.87,51
AS885,Accessoires Sacs,Accessoires,Sacs,Femme,M,Blanc,121.7,54.21,49
VS700,Vetements Sweats,Vetements,Sweats,Unisexe,L,Rouge,126.14,50.55,1
AC499,Accessoires Chaussettes,Accessoires,Chaussettes,Femme,L,Vert,263.23,116.42,75
CB389,Chaussures Basketball,Chaussures,Basketball,Femme,44,Jaune,80.67,36.4,41
AC301,Accessoires Chaussettes,Accessoires,Chaussettes,Femme,XS,Jaune,119.51,52.68,45
CR826,Chaussures Running,Chaussures,Running,Femme,45,Bleu,243.73,109.49,21
CR774,Chaussures Running,Chaussures,Running,Homme,37,Blanc,94.43,33.73,88
AC941,Accessoires Casquettes,Accessoires,Casquettes,Homme,M,Jaune,290.86,164.12,38
VS807,Vetements Sweats,Vetements,Sweats,Femme,M,Rouge,192.36,90.03,99
CB358,Chaussures Basketball,Chaussures,Basketball,Unisexe,39,Bleu,110.51,60.8,2
AC163,Accessoires Chaussettes,Accessoires,Chaussettes,Homme,XS,Blanc,179.15,73.97,76
VT213,Vetements T-shirts,Vetements,T-shirts,Femme,M,Noir,240.86,72.67,77
VT875,Vetements T-shirts,Vetements,T-shirts,Unisexe,XS,Jaune,98.63,43.58,38
AS666,Accessoires Sacs,Accessoires,Sacs,Homme,M,Rouge,256.73,95.13,78
AC318,Accessoires Casquettes,Accessoires,Casquettes,Femme,M,Noir,191.44,96.94,58
CR488,Chaussures Running,Chaussures,Running,Homme,35,Noir,236.94,108.95,63
CR832,Chaussures Running,Chaussures,Running,Femme,42,Bleu,184.27,56.06,97
CR525,Chaussures Running,Chaussures,Running,Femme,36,Rouge,195.85,103.51,73
VS877,Vetements Shorts,Vetements,Shorts,Unisexe,M,Jaune,145.93,55.68,35
VT880,Vetements T-shirts,Vetements,T-shirts,Homme,XL,Noir,227.96,124.43,86
CF370,Chaussures Football,Chaussures,Football,Unisexe,44,Noir,260.18,85.63,41
AC365,Accessoires Casquettes,Accessoires,Casquettes,Femme,S,Vert,215.14,107.24,46
VT591,Vetements T-shirts,Vetements,T-shirts,Femme,XL,Vert,195.83,71.33,41
AC665,Accessoires Casquettes,Accessoires,Casquettes,Femme,XS,Bleu,52.02,26.81,78
VS723,Vetements Shorts,Vetements,Shorts,Homme,M,Blanc,215.03,87.08,46
AC398,Accessoires Chaussettes,Accessoires,Chaussettes,Femme,XL,Vert,207.91,107.96,63
AS966,Accessoires Sacs,Accessoires,Sacs,Homme,XS,Rouge,75.84,36.03,32
AC794,Accessoires Chaussettes,Accessoires,Chaussettes,Femme,M,Vert,105.52,46.4,85
AC373,Accessoires Casquettes,Accessoires,Casquettes,Femme,XL,Noir,282.41,104.58,55
VS286,Vetements Shorts,Vetements,Shorts,Homme,M,Jaune,257.29,148.48,80
VS301,Vetements Shorts,Vetements,Shorts,Unisexe,XS,Blanc,179.77,77.95,81
CB800,Chaussures Basketball,Chaussures,Basketball,Unisexe,43,Rouge,187.54,72.3,32
CF107,Chaussures Football,Chaussures,Football,Femme,44,Vert,53.84,24.31,98
CR327,Chaussures Running,Chaussures,Running,Unisexe,40,Bleu,259.83,96.32,67
VS566,Vetements Sweats,Vetements,Sweats,Unisexe,L,Bleu,176.19,58.79,23
AC513,Accessoires Casquettes,Accessoires,Casquettes,Femme,L,Vert,135.67,47.6,95
AS288,Accessoires Sacs,Accessoires,Sacs,Femme,XL,Rouge,284.79,104.99,11
CF211,Chaussures Football,Chaussures,Football,Unisexe,40,Noir,140.74,74.79,50
VS660,Vetements Sweats,Vetements,Sweats,Homme,XL,Noir,173.39,54.44,39
CF991,Chaussures Football,Chaussures,Football,Unisexe,42,Bleu,297.77,153.34,0
CF935,Chaussures Football,Chaussures,Football,Femme,44,Blanc,271.5,124.74,25
CB837,Chaussures Basketball,Chaussures,Basketball,Femme,41,Jaune,136.76,47.28,100
AC961,Accessoires Chaussettes,Accessoires,Chaussettes,Unisexe,XS,Blanc,221.4,81.58,41
CF156,Chaussures Football,Chaussures,Football,Unisexe,38,Blanc,89.7,45.25,2
AS606,Accessoires Sacs,Accessoires,Sacs,Unisexe,S,Vert,218.78,87.2,0
CB149,Chaussures Basketball,Chaussures,Basketball,Femme,44,Vert,177.51,104.56,42
VS584,Vetements Sweats,Vetements,Sweats,Homme,M,Bleu,69.97,27.43,33
VS392,Vetements Sweats,Vetements,Sweats,Unisexe,M,Bleu,276.5,93.47,55
AS701,Accessoires Sacs,Accessoires,Sacs,Unisexe,XL,Noir,119.01,60.16,28
AC670,Accessoires Chaussettes,Accessoires,Chaussettes,Femme,XL,Vert,241.95,95.52,25
CF693,Chaussures Football,Chaussures,Football,Unisexe,38,Vert,285.41,150.89,84
VT769,Vetements T-shirts,Vetements,T-shirts,Unisexe,M,Bleu,114.19,59.14,15
AS606,Accessoires Sacs,Accessoires,Sacs,Homme,XS,Jaune,207.47,86.08,22
VS368,Vetements Shorts,Vetements,Shorts,Unisexe,XL,Blanc,140.75,56.03,74
CF128,Chaussures Football,Chaussures,Football,Homme,38,Bleu,166.06,58.67,11
CF181,Chaussures Football,Chaussures,Football,Femme,39,Rouge,282.7,91.99,57
CR742,Chaussures Running,Chaussures,Running,Femme,37,Jaune,227.73,129.07,46
VS594,Vetements Shorts,Vetements,Shorts,Homme,M,Blanc,232.99,110.06,39
AC825,Accessoires Casquettes,Accessoires,Casquettes,Homme,L,Vert,262.11,81.17,82
AS906,Accessoires Sacs,Accessoires,Sacs,Femme,S,Rouge,93.91,49.06,25
AC359,Accessoires Casquettes,Accessoires,Casquettes,Homme,XL,Bleu,86.55,36.26,93
AC968,Accessoires Chaussettes,Accessoires,Chaussettes,Homme,XS,Noir,291.31,144.98,33
VS275,Vetements Shorts,Vetements,Shorts,Homme,XS,Blanc,97.93,49.28,14
VS693,Vetements Shorts,Vetements,Shorts,Homme,XL,Blanc,178.94,93.06,58
CF120,Chaussures Football,Chaussures,Football,Unisexe,40,Vert,261.94,90.17,52
VT626,Vetements T-shirts,Vetements,T-shirts,Unisexe,L,Bleu,258.96,137.24,32
CF457,Chaussures Football,Chaussures,Football,Homme,35,Vert,134.46,60.17,47
AC910,Accessoires Casquettes,Accessoires,Casquettes,Unisexe,M,Jaune,266.88,139.21,83
CR391,Chaussures Running,Chaussures,Running,Femme,39,Blanc,87.81,43.81,46
CB937,Chaussures Basketball,Chaussures,Basketball,Homme,41,Jaune,294.59,117.17,80
AC573,Accessoires Chaussettes,Accessoires,Chaussettes,Homme,XL,Vert,54.45,19.57,97
AC969,Accessoires Chaussettes,Accessoires,Chaussettes,Homme,M,Blanc,200.61,118.43,77
AC471,Accessoires Casquettes,Accessoires,Casquettes,Unisexe,XL,Vert,86.54,41.17,16
VS872,Vetements Sweats,Vetements,Sweats,Unisexe,S,Jaune,264.11,131.6,67
AS811,Accessoires Sacs,Accessoires,Sacs,Homme,S,Noir,252.94,146.32,91
CB969,Chaussures Basketball,Chaussures,Basketball,Unisexe,39,Jaune,226.85,81.82,61
AC596,Accessoires Chaussettes,Accessoires,Chaussettes,Femme,L,Blanc,76.4,40.43,88
CF647,Chaussures Football,Chaussures,Football,Femme,42,Rouge,195.26,106.85,11
CB546,Chaussures Basketball,Chaussures,Basketball,Homme,36,Rouge,79.96,30.53,58
AC731,Accessoires Casquettes,Accessoires,Casquettes,Femme,XL,Rouge,78.42,42.51,58
VS995,Vetements Shorts,Vetements,Shorts,Homme,M,Vert,180.64,108.24,12
VS458,Vetements Sweats,Vetements,Sweats,Unisexe,M,Bleu,223.79,85.88,98
VT203,Vetements T-shirts,Vetements,T-shirts,Unisexe,XS,Jaune,272.47,159.91,78
AC110,Accessoires Chaussettes,Accessoires,Chaussettes,Unisexe,S,Blanc,298.72,120.73,47
AS689,Accessoires Sacs,Accessoires,Sacs,Homme,L,Rouge,174.58,81.04,43
AC383,Accessoires Chaussettes,Accessoires,Chaussettes,Femme,XS,Noir,86.09,45.86,24
VS840,Vetements Shorts,Vetements,Shorts,Femme,S,Noir,226.69,77.41,2
CR246,Chaussures Running,Chaussures,Running,Femme,40,Vert,271.27,92.25,63
VS652,Vetements Shorts,Vetements,Shorts,Homme,S,Bleu,277.76,128.25,47
VS990,Vetements Shorts,Vetements,Shorts,Femme,L,Jaune,88.86,47.43,37
AC429,Accessoires Chaussettes,Accessoires,Chaussettes,Femme,M,Noir,82.26,46.79,99
CF463,Chaussures Football,Chaussures,Football,Femme,44,Bleu,258.3,111.54,67
VT104,Vetements T-shirts,Vetements,T-shirts,Homme,M,Vert,113.28,49.2,91
CB176,Chaussures Basketball,Chaussures,Basketball,Unisexe,42,Blanc,153.71,65.23,17
VS682,Vetements Sweats,Vetements,Sweats,Femme,L,Rouge,54.03,30.05,27
VT846,Vetements T-shirts,Vetements,T-shirts,Femme,XS,Noir,137.45,51.67,64
VT375,Vetements T-shirts,Vetements,T-shirts,Femme,S,Bleu,198.84,62.49,49
AS148,Accessoires Sacs,Accessoires,Sacs,Unisexe,XL,Rouge,277.2,102.38,99
AC372,Accessoires Casquettes,Accessoires,Casquettes,Homme,M,Vert,267.29,97.42,1
VS809,Vetements Sweats,Vetements,Sweats,Femme,L,Jaune,174.25,70.51,56
VS117,Vetements Shorts,Vetements,Shorts,Homme,L,Bleu,260.59,91.1,68
AS935,Accessoires Sacs,Accessoires,Sacs,Homme,XS,Rouge,285.61,110.1,84
AC114,Accessoires Chaussettes,Accessoires,Chaussettes,Unisexe,S,Rouge,111.79,65.68,26
VS234,Vetements Shorts,Vetements,Shorts,Femme,L,Bleu,168.37,75.57,48
AC360,Accessoires Casquettes,Accessoires,Casquettes,Femme,M,Jaune,64.16,21.7,84
CF101,Chaussures Football,Chaussures,Football,Unisexe,39,Noir,151.72,66.28,25
CB737,Chaussures Basketball,Chaussures,Basketball,Unisexe,37,Vert,268.2,159.52,64
AC465,Accessoires Casquettes,Accessoires,Casquettes,Unisexe,L,Rouge,281.94,147.89,98
VS771,Vetements Shorts,Vetements,Shorts,Unisexe,XS,Noir,291.03,162.0,99
AC451,Accessoires Chaussettes,Accessoires,Chaussettes,Homme,XL,Vert,111.16,60.54,14
AS182,Accessoires Sacs,Accessoires,Sacs,Unisexe,XS,Jaune,252.18,149.84,95
VT105,Vetements T-shirts,Vetements,T-shirts,Femme,XL,Noir,93.14,36.53,90
VT591,Vetements T-shirts,Vetements,T-shirts,Homme,L,Bleu,246.31,132.06,78
AS233,Accessoires Sacs,Accessoires,Sacs,Homme,L,Blanc,54.61,30.63,76
VS245,Vetements Shorts,Vetements,Shorts,Femme,XL,Noir,274.51,119.57,31
VS911,Vetements Sweats,Vetements,Sweats,Homme,XL,Vert,248.89,148.81,65
AC384,Accessoires Casquettes,Accessoires,Casquettes,Homme,M,Vert,295.06,139.52,17
AC946,Accessoires Chaussettes,Accessoires,Chaussettes,Unisexe,L,Rouge,92.93,32.4,26
CF876,Chaussures Football,Chaussures,Football,Homme,43,Noir,263.06,147.23,64
CB290,Chaussures Basketball,Chaussures,Basketball,Unisexe,35,Bleu,241.38,120.79,96
CR147,Chaussures Running,Chaussures,Running,Femme,39,Blanc,128.62,40.55,92
AC647,Accessoires Chaussettes,Accessoires,Chaussettes,Unisexe,S,Blanc,138.95,64.9,77
AS193,Accessoires Sacs,Accessoires,Sacs,Femme,S,Rouge,269.86,156.56,56
CB467,Chaussures Basketball,Chaussures,Basketball,Femme,38,Jaune,71.46,32.92,74
AC436,Accessoires Chaussettes,Accessoires,Chaussettes,Homme,L,Bleu,244.9,124.14,18
CB137,Chaussures Basketball,Chaussures,Basketball,Unisexe,37,Blanc,120.28,48.43,3
AC644,Accessoires Chaussettes,Accessoires,Chaussettes,Unisexe,L,Rouge,183.51,106.91,60
VS235,Vetements Shorts,Vetements,Shorts,Unisexe,S,Noir,88.27,46.02,30
VS340,Vetements Shorts,Vetements,Shorts,Homme,M,Jaune,225.18,120.77,9
VT596,Vetements T-shirts,Vetements,T-shirts,Unisexe,S,Vert,88.29,34.38,43
CF863,Chaussures Football,Chaussures,Football,Homme,38,Bleu,205.76,98.86,32
CR848,Chaussures Running,Chaussures,Running,Unisexe,35,Vert,142.82,73.9,35
AC509,Accessoires Chaussettes,Accessoires,Chaussettes,Unisexe,M,Noir,202.25,116.42,82
AC939,Accessoires Casquettes,Accessoires,Casquettes,Homme,L,Blanc,95.79,40.97,94
VS481,Vetements Shorts,Vetements,Shorts,Unisexe,S,Bleu,185.55,88.58,57
VS526,Vetements Sweats,Vetements,Sweats,Homme,XS,Blanc,83.26,25.3,8
VS365,Vetements Shorts,Vetements,Shorts,Homme,S,Vert,257.41,104.73,69
VS397,Vetements Shorts,Vetements,Shorts,Homme,M,Jaune,272.43,133.95,37
AC941,Accessoires Chaussettes,Accessoires,Chaussettes,Homme,L,Vert,184.49,59.09,19
AS213,Accessoires Sacs,Accessoires,Sacs,Homme,XS,Bleu,132.56,65.17,97
CB885,Chaussures Basketball,Chaussures,Basketball,Homme,41,Vert,54.95,17.04,17
CR380,Chaussures Running,Chaussures,Running,Femme,41,Noir,257.62,87.26,25
CF602,Chaussures Football,Chaussures,Football,Homme,44,Rouge,73.53,30.76,25
AC392,Accessoires Chaussettes,Accessoires,Chaussettes,Femme,M,Blanc,287.46,115.49,19
CB371,Chaussures Basketball,Chaussures,Basketball,Femme,45,Bleu,131.18,73.89,65
VS497,Vetements Shorts,Vetements,Shorts,Unisexe,M,Jaune,209.67,114.39,64
CR254,Chaussures Running,Chaussures,Running,Unisexe,41,Rouge,253.95,99.9,72
VT266,Vetements T-shirts,Vetements,T-shirts,Femme,XS,Vert,288.93,98.26,73
AC757,Accessoires Chaussettes,Accessoires,Chaussettes,Homme,L,Blanc,279.46,91.09,69
AS974,Accessoires Sacs,Accessoires,Sacs,Femme,L,Rouge,210.66,117.4,43
CR798,Chaussures Running,Chaussures,Running,Unisexe,41,Jaune,174.45,93.1,87
CR528,Chaussures Running,Chaussures,Running,Femme,41,Bleu,280.62,118.02,61
VS155,Vetements Sweats,Vetements,Sweats,Femme,XL,Bleu,96.59,41.3,60
CF510,Chaussures Football,Chaussures,Football,Homme,42,Vert,213.43,70.73,97
CB920,Chaussures Basketball,Chaussures,Basketball,Homme,42,Bleu,144.26,65.56,84
AC830,Accessoires Chaussettes,Accessoires,Chaussettes,Unisexe,M,Noir,199.41,115.28,52
CF592,Chaussures Football,Chaussures,Football,Femme,36,Vert,262.68,99.49,94
CF234,Chaussures Football,Chaussures,Football,Unisexe,45,Bleu,135.41,50.8,1
VT533,Vetements T-shirts,Vetements,T-shirts,Femme,M,Vert,219.74,91.79,63
AC161,Accessoires Casquettes,Accessoires,Casquettes,Femme,S,Noir,276.36,163.65,90
VT865,Vetements T-shirts,Vetements,T-shirts,Homme,XS,Vert,257.77,130.42,40
CR700,Chaussures Running,Chaussures,Running,Homme,45,Rouge,229.76,101.04,55
CB265,Chaussures Basketball,Chaussures,Basketball,Homme,43,Vert,175.73,89.35,19
AS729,Accessoires Sacs,Accessoires,Sacs,Femme,XL,Vert,243.79,127.31,47
VT993,Vetements T-shirts,Vetements,T-shirts,Homme,M,Rouge,221.95,88.22,84
CR501,Chaussures Running,Chaussures,Running,Homme,45,Rouge,209.03,103.72,87
VT853,Vetements T-shirts,Vetements,T-shirts,Femme,M,Blanc,159.15,66.21,64
AS493,Accessoires Sacs,Accessoires,Sacs,Homme,L,Jaune,244.97,107.66,56
CR216,Chaussures Running,Chaussures,Running,Femme,39,Noir,62.92,28.97,61
VT450,Vetements T-shirts,Vetements,T-shirts,Unisexe,S,Rouge,196.89,87.5,49
AC217,Accessoires Casquettes,Accessoires,Casquettes,Femme,XS,Noir,224.58,110.58,91
VS875,Vetements Sweats,Vetements,Sweats,Femme,XL,Vert,200.88,90.73,55
CR857,Chaussures Running,Chaussures,Running,Femme,39,Blanc,137.62,63.88,45
VS518,Vetements Sweats,Vetements,Sweats,Femme,XL,Rouge,249.75,112.55,57
CF549,Chaussures Football,Chaussures,Football,Femme,44,Rouge,101.09,31.01,17
VS354,Vetements Sweats,Vetements,Sweats,Femme,XL,Blanc,102.47,44.1,47
VS338,Vetements Shorts,Vetements,Shorts,Unisexe,XL,Blanc,153.32,73.95,64
AC146,Accessoires Chaussettes,Accessoires,Chaussettes,Femme,L,Noir,182.68,64.28,14
AC861,Accessoires Chaussettes,Accessoires,Chaussettes,Unisexe,M,Blanc,185.6,73.28,52
CB428,Chaussures Basketball,Chaussures,Basketball,Femme,44,Rouge,292.52,116.23,8
VS195,Vetements Sweats,Vetements,Sweats,Homme,M,Bleu,67.78,29.29,4
VT144,Vetements T-shirts,Vetements,T-shirts,Unisexe,L,Noir,192.78,109.37,87
VS977,Vetements Sweats,Vetements,Sweats,Femme,L,Vert,297.29,98.73,21
AC753,Accessoires Chaussettes,Accessoires,Chaussettes,Femme,XL,Bleu,68.68,28.02,34
AC214,Accessoires Chaussettes,Accessoires,Chaussettes,Unisexe,XL,Vert,165.02,73.02,33
AS280,Accessoires Sacs,Accessoires,Sacs,Femme,M,Jaune,74.53,37.01,21
CR235,Chaussures Running,Chaussures,Running,Unisexe,38,Noir,205.38,88.46,84
CF734,Chaussures Football,Chaussures,Football,Femme,39,Blanc,101.04,38.67,85
VS352,Vetements Shorts,Vetements,Shorts,Homme,M,Rouge,295.34,89.73,55
AC426,Accessoires Chaussettes,Accessoires,Chaussettes,Homme,XL,Vert,236.21,140.86,53
AC349,Accessoires Chaussettes,Accessoires,Chaussettes,Homme,M,Rouge,108.01,39.3,68
AC800,Accessoires Casquettes,Accessoires,Casquettes,Unisexe,L,Blanc,147.24,80.49,70
CF835,Chaussures Football,Chaussures,Football,Femme,40,Rouge,159.61,53.05,49
AC491,Accessoires Chaussettes,Accessoires,Chaussettes,Homme,M,Bleu,62.14,27.68,67
CF416,Chaussures Football,Chaussures,Football,Unisexe,45,Rouge,67.47,32.69,42
VS916,Vetements Shorts,Vetements,Shorts,Unisexe,M,Vert,83.44,43.72,41
CF578,Chaussures Football,Chaussures,Football,Unisexe,36,Jaune,172.96,87.95,19
AS396,Accessoires Sacs,Accessoires,Sacs,Unisexe,XL,Vert,70.59,40.4,9
AS952,Accessoires Sacs,Accessoires,Sacs,Homme,XL,Vert,257.35,117.55,20
AC620,Accessoires Chaussettes,Accessoires,Chaussettes,Femme,XL,Jaune,224.74,93.39,84
VS220,Vetements Sweats,Vetements,Sweats,Homme,L,Blanc,161.33,72.1,81
AC452,Accessoires Casquettes,Accessoires,Casquettes,Unisexe,XS,Rouge,62.13,27.74,4
AC268,Accessoires Casquettes,Accessoires,Casquettes,Unisexe,XS,Bleu,101.97,47.24,57
AS312,Accessoires Sacs,Accessoires,Sacs,Homme,XS,Vert,127.24,66.78,93
AC980,Accessoires Casquettes,Accessoires,Casquettes,Homme,L,Vert,224.33,120.26,69
AC899,Accessoires Casquettes,Accessoires,Casquettes,Homme,XS,Blanc,274.68,130.65,3
VS667,Vetements Shorts,Vetements,Shorts,Homme,XS,Vert,268.56,125.27,14
VS861,Vetements Sweats,Vetements,Sweats,Homme,S,Rouge,54.59,21.2,17
VS324,Vetements Shorts,Vetements,Shorts,Homme,S,Rouge,194.23,77.25,64
CF795,Chaussures Football,Chaussures,Football,Homme,38,Bleu,208.71,70.94,21
VS191,Vetements Shorts,Vetements,Shorts,Femme,XL,Noir,180.25,101.48,13
